Name,Longitude,Latitude
PDX A 2,-122.59,45.59
Safeway-Yelm #1619,-122.59,46.93
The Bow,-114.06,51.05
Corson & Michigan - Seattle,-122.32,47.55
Safeway-Kenmore #3500,-122.25,47.76
Mountain Side Village,-115.36,51.09
Genco Place,-114.07,51.04
Teavana - Calgary Eaton Centre,-114.07,51.05
111 St & Ellerslie Rd,-113.51,53.42
Bower Place,-113.81,52.24
2344 Eastlake,-122.33,47.64
Safeway-Castlegar #196,-117.66,49.3
Metropolitan Park,-122.33,47.62
N. Miller & N. Mission,-120.33,47.44
Kingsview Market,-113.99,51.27
Leschi,-122.29,47.6
Target Arlington T-2192,-122.19,48.15
Safeway-The Dalles #1489,-121.19,45.6
Sunterra Mkt - TransCanada Tower,-114.07,51.05
2nd & Division,-117.41,47.65
Western Canada Place,-114.08,51.05
Sherwood Park Chapters,-113.29,53.53
Safeway #3228 - Puyallup,-122.35,47.1
Safeway-Mt Vernon #1472,-122.34,48.44
6th & Sprague - Tacoma,-122.46,47.26
Inglewood - 11th ST SE and 9th Ave,-114.04,51.04
Safeway-Lethbridge #2276,-112.89,49.69
Evolution Fresh Pine Street,-122.34,47.61
6th & Union,-122.33,47.61
Safeway-Edmonton #861,-113.46,53.52
Fred Meyer - Redmond #664,-122.1,47.67
Safeway-Seattle #1845,-122.35,47.69
Safeway-Vancouver #1519,-122.53,45.62
Village Green,-119.27,50.28
164th & Bothell Hwy,-122.22,47.85
Fred Meyer - Covington #53,-122.12,47.36
GEG C 21,-117.54,47.62
Fred Meyer - Monroe #210,-121.98,47.86
Safeway - Moscow #383,-116.98,46.72
Safeway - Calgary #221,-114.12,51.09
Wallingford,-122.33,47.66
S. Sammish Way & 36th St,-122.47,48.73
Clearwater & Columbia,-119.22,46.21
University Village North,-122.3,47.66
Barkley Village,-122.44,48.77
NE Stadium Way & N Grand Ave,-117.17,46.74
QFC-Bellevue #874 (Bel-East),-122.15,47.6
HMS HOST @ YYC Departures Internati,-114.01,51.13
Safeway-Calgary #292,-114.07,50.97
Mission Heights,-118.8,55.14
8th & Virginia - Seattle,-122.34,47.62
Huntington Hills,-114.07,51.12
Piccadilly Mall - Salmon Arm,-119.3,50.69
Ferndale Haggens,-122.58,48.84
Polson Park - Vernon,-119.27,50.26
Safeway - Calgary 2243,-114.07,51.1
QFC - University Village #807,-122.3,47.66
Teavana - Bellevue,-122.2,47.62
Douglas Square,-114,50.95
4637 Sunset Blvd.,-122.16,47.51
Safeway-Leduc #801,-113.55,53.27
Calgary Trail South,-113.5,53.49
N. 40th & River Rd,-120.56,46.62
Fred Meyer-Sumner #665,-122.23,47.2
PDX - Pre-Security,-122.59,45.59
180th & W Valley Hwy - Kent,-122.24,47.44
Safeway - Edmonton #808,-113.47,53.57
Olympic Dr NW - Gig Harbor,-122.58,47.3
"SEA SeaTac Concourse B, Gate 8",-122.3,47.44
Fred Meyer - Coeur d'Alene #49,-116.79,47.71
Safeway - Tacoma #1246,-122.52,47.26
Safeway-Everett #503,-122.21,47.9
Fred Meyer-Renton #459,-122.22,47.48
2nd & Lenora,-122.34,47.61
Brentwood Village NW,-114.13,51.09
Teavana - Chinook Centre,-114.07,51
Good Samaritan Hospital Puyallup To,-122.29,47.18
Safeway - Renton #3319,-122.16,47.49
Grand Villa Casino,-113.49,53.55
QFC Bellevue #808,-122.2,47.62
QFC-W Lynwood #835,-122.33,47.82
Albertsons 3106 @ Puyallup,-122.36,47.16
Safeway - Seattle #1477,-122.37,47.67
"Sandpoint, ID",-116.55,48.27
University Village,-122.3,47.66
Safeway-Auburn #531,-122.23,47.31
Gig Harbor,-122.58,47.3
Northgate,-122.32,47.71
Safeway-Seattle #1551,-122.31,47.62
Richmond Beach,-122.36,47.77
Bellevue Courtyard,-122.19,47.62
Tulalip,-122.19,48.09
5th & Columbia - Seattle,-122.33,47.61
Westgate,-122.51,47.27
Safeway - Seattle #1923,-122.37,47.52
Safeway-Bainbridge Island #1252,-122.52,47.64
12101 Mill Plain Blvd- Vancouver,-122.55,45.62
N. Indian Trail Rd & W. Barnes Rd,-117.49,47.74
Tuscany Drive Market,-114.25,51.12
Safeway - Sandpoint #350,-116.55,48.28
Safeway - Walla Walla #1160,-118.35,46.05
W. Francis & N. Ash,-117.44,47.72
QFC - North Seattle #858,-122.31,47.73
HSBC Bank Place,-113.49,53.54
Plaza 600 Building,-122.34,47.61
Meridian & Jovita - Edgewood,-122.29,47.25
Auburn Way S & M Street,-122.21,47.29
Safeway - 535 Thrasher's Corner,-122.21,47.81
Safeway-Calgary #293,-114.07,50.91
Key Bank Plaza,-122.44,47.25
Redmond Way & 158th,-122.13,47.67
Albertsons-Spokane #258,-117.22,47.63
Safeway-Seattle #1965,-122.27,47.52
Canyon Park,-122.22,47.79
Pike Place,-122.34,47.61
Queensgate & Duportail,-119.31,46.26
Safeway-Orting #1844,-122.21,47.1
Safeway - Red Deer #813,-113.81,52.26
Promontory SC-Vedder & Promontory,-121.96,49.11
Terry & Republican - Seattle,-122.34,47.62
Swedish Orthopedic Institute,-122.32,47.61
Edmonton City Centre,-113.49,53.54
Hwy 507 & Creek St SE- Yelm,-122.59,46.93
Queen Anne Ave N,-122.36,47.62
Columbia Center,-122.33,47.6
Safeway-Yakima #1660,-120.49,46.58
Two Union Square,-122.33,47.61
12519 N. Division,-117.4,47.77
I-405 & NE 44th- Renton,-122.19,47.53
Safeway-Spokane #1242,-117.37,47.63
Lincoln Plaza,-122.47,47.22
Safeway Kamloops #89,-120.35,50.67
Safeway - Spokane #3248,-117.42,47.72
Fred Meyer - Bothell #457,-122.21,47.81
Fred Meyer Everett #95,-122.23,47.92
Safeway-Ellensburg #1630,-120.54,47
QFC - Meridian #803,-122.16,47.39
Parkway Supercenter,-122.26,47.45
Southcenter,-122.26,47.46
Safeway - Redmond #464,-122.11,47.67
Safeway - Des Moines #1186,-122.31,47.36
40th & Bridgeport,-122.54,47.22
SouthCenter Mall East,-122.26,47.46
Burien Plaza,-122.33,47.47
Jamieson Place SW,-114.07,51.05
Matrix Hotel,-113.5,53.54
Gage & Keene Rd,-119.27,46.23
Strathcona Chapters,-113.5,53.52
Federal Way Crossing,-122.32,47.29
Safeway-Renton #1563,-122.21,47.48
Bainbridge Island Village,-122.52,47.64
Safeway-Moses Lake #3252,-119.27,47.13
Columbia Place - Kamloops,-120.35,50.67
1217 N. Hamilton,-117.4,47.67
Safeway-Seattle #219,-122.28,47.54
Dewdney Trunk & 240th,-122.56,49.22
Erin Ridge,-113.64,53.67
Bridgeport Way & 100th - Lakewood,-122.51,47.17
4147 University Way Avenue,-122.31,47.66
Secure Access SCH Ocean,-122.28,47.66
Safeway - Spokane #1299,-117.4,47.75
74th & Lakewood Drive - Lakewood,-122.51,47.19
1040 East Marina Road-Hood River,-121.5,45.71
University of Alberta Engineering,-113.53,53.53
Magnolia,-122.4,47.64
Cochrane City Centre,-114.47,51.19
Evergreen Village,-122.15,47.62
Beacon Hill - Sarcee & 112th Ave,-114.16,51.16
Indigo - Northtown Mall,-113.49,53.6
Jasper Ave & 109 St,-113.51,53.54
N. Liberty Lake Rd & E Appleway Ave,-117.1,47.67
Bridge Street Plaza- Clarkston,-117.04,46.42
4th & Union - Seattle,-122.34,47.61
Teavana - Sunridge Mall,-113.98,51.07
Safeway-Arlington #1522,-122.13,48.18
1st & Walker-Seattle,-122.33,47.58
Dexter Station,-122.34,47.63
Fred Meyer - The Dalles #372,-121.2,45.61
210 W. Ironwood Drive,-116.79,47.69
Target Richland T-2314,-119.31,46.26
Safeway-Seattle #1586,-122.31,47.72
Gasoline Alley,-113.82,52.21
Safeway-Federal Way #1555,-122.32,47.31
Deer Valley Marketplace,-114.03,50.93
Crossroads,-122.13,47.62
Servus Credit Union Place,-113.58,53.65
170th St & 100th Ave,-113.62,53.54
Issaquah Meadows,-122.06,47.55
Hawthorne & Nevada,-117.4,47.75
208th & Benson/Panther Lk.,-122.2,47.42
Ranch Market-Strathmore,-113.39,51.04
Interurban Ave,-122.27,47.49
Safeway-Sherwood Park #811,-113.32,53.51
Sumas Mountain Village,-122.22,49.04
1144 Elliott Ave W - Seattle,-122.37,47.63
Safeway-Maple Valley #1471,-122.02,47.36
Safeway-Spruce Grove #857,-113.91,53.54
Target N Tacoma T-341,-122.48,47.24
Rose Hill - Kirkland,-122.18,47.68
Safeway - St Albert #806,-113.63,53.64
Division & Wellesley,-117.41,47.7
Lake Stevens,-122.11,48
YYC-Calgary International Arrivals,-114.01,51.13
Harbour Pointe Retail Town Center,-122.29,47.91
Alderwood Mall,-122.27,47.83
Sierra Springs,-114,51.27
Eastgate-Bellevue,-122.13,47.58
Bellis Fair Mall,-122.49,48.79
Cranbrook,-115.75,49.53
Safeway - Cranbrook #2271,-115.77,49.51
Sumas Way & DeLair Road,-122.27,49.04
Shepard Centre Indigo,-113.96,50.93
Albertsons Marysville #471,-122.18,48.05
Cityview Shopping Centre-Kamloops,-120.37,50.65
Safeway - Calgary #212,-114.08,51.04
Totem Lake West,-122.19,47.71
Target Lynnwood T-338,-122.27,47.83
Save on Foods - Lewis Estates,-113.64,53.52
Safeway-Lake Stevens #1803,-122.1,48
Delta Bow Valley,-114.06,51.05
Highway 16A & Century Rd,-113.88,53.54
Safeway - Federal Way #3501,-122.36,47.3
Teavana - Cross Iron,-113.99,51.2
Fred Meyer - Puyallup #265,-122.3,47.2
MLK Way & Graham - Seattle,-122.29,47.55
Lynden Retail - Lynden,-122.48,48.93
Nexen Building,-114.08,51.05
Safeway - Spokane #1494,-117.45,47.7
Safeway - Edmonton #841,-113.49,53.6
162nd & 18th,-122.51,45.64
224th & Meridian - Graham,-122.29,47.05
Columbia Tower 40th Floor- Seattle,-122.33,47.6
Ballard,-122.39,47.67
Missoula - Brooks and Central,-114.02,46.85
Target Puyallup T-2136,-122.29,47.11
Safeway - Tacoma #3424,-122.49,47.27
6607 W. Canal Drive,-119.21,46.23
Russell Investments Center-Seattle,-122.34,47.61
"QFC-West Seattle, WA #883",-122.38,47.56
Safeway-Penticton #153,-119.59,49.48
High Street,-113.54,53.54
Safeway - Seattle #1550,-122.32,47.68
Northgate Way,-122.33,47.71
164th & Mill Plain,-122.51,45.61
Safeway-Kent #792,-122.11,47.36
Battle Ground,-122.55,45.78
Fred Meyer-Marysville #209,-122.17,48.09
Suncor Plus +15,-114.06,51.05
Banff Avenue Mall,-115.57,51.18
Silverado Marketplace,-114.07,50.88
Benson Plaza,-122.2,47.44
Save On Foods North Lethbridge,-112.83,49.7
85th St & 9th Ave SW,-114.21,51.06
The Core,-114.07,51.05
Bothell Everett Hwy & 220th St SE,-122.21,47.8
Kamloops Chapters,-120.38,50.65
104th Ave.&112th St.,-113.51,53.55
Safeway - Newcastle #558,-122.17,47.54
Sevenoaks SC - S.Fraser & Gladwin,-122.31,49.05
Target Kalispell T-1540,-114.33,48.24
Thompson Rivers University,-120.36,50.67
QFC - Northgate #866,-122.32,47.71
Safeway-Calgary #2000,-113.95,51.12
QFC - Seattle/Uptown #881,-122.35,47.62
Safeway - Bellevue #1600,-122.2,47.61
1200 Westlake Ave,-122.34,47.63
Bridle Trails Center- Kirkland,-122.17,47.67
Klahanie Village,-122,47.57
Safeway-Kent #1294,-122.25,47.38
Gates of Walden,-114.04,50.88
McCallum and No. 1,-122.29,49.04
Oxford Park,-113.54,53.62
Safeway - Tacoma #3305,-122.43,47.11
Queen Anne,-122.36,47.64
South Mercer Island,-122.23,47.54
Wolf Willow,-113.61,53.5
QFC-Vancouver #212 (Riverstone),-122.48,45.59
Bakerview - Sumas Way,-122.27,49.03
Teavana - Bower Place,-113.81,52.25
Safeway-Edmonds #1297,-122.34,47.78
Safeway Fort Saskatchewan #846,-113.21,53.69
Sumner,-122.23,47.2
Cedar Plaza- Mountlake Terrace,-122.29,47.79
Sunterra Westmarket,-114.17,51.04
Gaetz Ave Chapters,-113.82,52.24
Fred Meyer - Bellevue #23,-122.14,47.63
Broadway & Everett Ave,-122.2,47.98
Safeway-Bothell #1864,-122.21,47.78
Westlake and Mercer,-122.34,47.62
QFC - Redmond Ridge #878,-122.03,47.7
Sunterra @ Westjet Offices,-114.01,51.12
Village Landing,-113.61,53.62
Trent & Argonne,-117.28,47.68
The Lodge,-122.2,47.62
Safeway - Battle Ground #4313,-122.55,45.78
23rd & Union - Tacoma,-122.48,47.24
Fred Meyer - Mill Creek #458,-122.21,47.88
QFC - Issaquah #821,-122.06,47.55
Lewiston,-117,46.41
Crowfoot Chapters,-114.2,51.13
James Tower,-122.31,47.61
Safeway-Tacoma #1437,-122.45,47.22
Safeway - Calgary #202,-113.98,51.05
SE 27th - Mercer Island,-122.24,47.59
1609 West Dravus,-122.38,47.65
Safeway-Tacoma #486,-122.54,47.22
Juanita Village,-122.21,47.71
Willow Park Village,-114.07,50.96
Safeway-Pullman #2639,-117.18,46.72
Bankers Hall Plus +15,-114.07,51.05
Safeway - Tacoma #1436,-122.41,47.19
Centre For Applied Technology,-113.5,53.57
Kingsway Ave & 117St,-113.52,53.57
Westhills,-114.17,51.01
Valley Mall Pkwy & 5th St NE,-120.29,47.41
15th Ave E,-122.31,47.62
Safeway-Kamloops #56,-120.36,50.7
Centre St & 9 Ave N,-114.06,51.06
Target Bellevue T-339,-122.17,47.57
Coventry Hills,-114.06,51.16
QFC-Enumclaw #863,-121.99,47.2
Safeway-Everett #1484,-122.21,47.96
Mission Park,-119.49,49.86
Britannia,-114.08,51.01
PDX D 4,-122.59,45.59
Safeway - Edmonton #809,-113.52,53.55
Safeway - Kelowna #170,-119.49,49.89
Safeway - Edmonton #845,-113.43,53.54
MLK Way,-122.3,47.58
University Way,-122.31,47.66
E. Olive Way,-122.32,47.62
196th & 40th,-122.29,47.82
University Village South,-122.3,47.66
102nd Ave SE & S 240th St- Kent,-122.2,47.39
Safeway-Lakewood #1645,-122.52,47.16
Safeway-Polson #1646,-114.12,47.69
Fred Meyer-Tacoma #390,-122.5,47.24
Tamarack,-113.37,53.48
Target Issaquah T-996,-122.05,47.54
Safeway - Tacoma #1978,-122.52,47.27
The Dalles,-121.2,45.61
Lynnwood Square,-122.29,47.82
Parkland-Tacoma,-122.43,47.14
Safeway - Banff #208,-115.57,51.18
Mt.Vernon/Haggens,-122.31,48.42
Southcenter Mall Center,-122.26,47.46
Issaquah Highlands - Issaquah,-122.02,47.54
Teavana - Orchard Park,-119.44,49.88
Glenmore Landing,-114.1,50.97
Columbia Center Mall,-119.23,46.23
Market & Garland,-117.37,47.69
California & Fauntleroy,-122.39,47.54
QFC-Seattle #805 (Manhattan),-122.34,47.44
QFC - Redmond #820,-122.13,47.68
Thrashers Crnr,-122.21,47.81
Casino & Evergreen,-122.23,47.92
The Junction - California & Alaska,-122.39,47.56
Red Deer College,-113.82,52.25
Safeway - Seattle #1993,-122.3,47.62
South Pointe Chapters,-113.49,53.46
Edwards Crossing - Yale & Ontario,-121.96,49.17
W. 27th Ave & Hwy 395,-119.18,46.19
1102 Supermall Way,-122.25,47.3
15th Ave & NW 53rd - Ballard,-122.38,47.67
Target Seattle Downtown T-2786,-122.34,47.61
Missoula Fresh Market - Reserve,-114.04,46.83
Target Bonney Lake T-1957,-122.17,47.17
Hwy 410 & 214th - Bonney Lake,-122.15,47.17
Snohomish,-122.1,47.93
Valley Fair Mall,-122.59,49.22
Pacific hwy & S 240th,-122.3,47.38
Commerce Place,-113.5,53.54
Main & Post,-117.42,47.66
Washington Shoe Building,-122.33,47.6
132nd Ave SE & SE Kent Kangley Rd,-122.17,47.36
College Plaza,-113.52,53.52
Sunset Dr. & James St Road,-122.46,48.77
Safeway - Camas #1287,-122.4,45.59
116th & Canyon Rd,-122.36,47.15
Target Puyallup T-342,-122.29,47.16
Teavana - West Edmonton,-113.62,53.52
303 River Rd - Puyallup,-122.3,47.2
Issaquah Commons,-122.05,47.54
QFC - Wallingford #869,-122.34,47.66
Old Fairhaven Parkway & 30th,-122.48,48.71
Safeway-Grand Prairie #810,-118.79,55.18
QFC - Seattle/Rainier #849,-122.3,47.58
Albertsons 1413 @ Thomas Lake,-122.19,47.88
University of Washington HUB,-122.31,47.66
Safeway - Calgary #263,-114.06,51.07
Century Square,-122.34,47.61
Broadway & 10th,-122.2,48
Safeway-Seattle #3540,-122.3,47.41
Safeway-Omak #1194,-119.51,48.42
Hwy 99 & 185th- Shoreline,-122.34,47.76
The Bridges,-114.04,51.05
Safeway-Sherwood Park #822,-113.3,53.53
North Creek Plaza,-122.18,47.76
Albertsons - Missoula #1010,-114.02,46.84
Fred Meyer-University Place,-122.53,47.2
"SEA SeaTac Concourse A, Space 2",-122.3,47.44
Roy St Coffee & Tea,-122.32,47.63
Safeway #307 - Walla Walla,-118.34,46.07
99th Ave & 105 Street,-113.5,53.54
Marysville Gateway Center,-122.18,48.1
50th Street Market,-113.41,53.63
Mayor Magrath Drive,-112.8,49.68
Fred Meyer - Renton #31,-122.2,47.44
W. Sunset Hwy & S Hayford Rd,-117.56,47.64
212th & W. Valley Hwy,-122.25,47.41
Albertsons - Redmond #2072,-122.03,47.65
North Town Mall 97 St & 137 Ave,-113.49,53.6
Safeway-Enumclaw #494,-121.98,47.2
Safeway-Seattle #1885,-122.36,47.62
Tower Lane Mall,-114.01,51.29
Safeway - Calgary #2211,-114.1,51.06
"YYC Calg N Processor, Retail Hall",-114.01,51.13
Normandy Park,-122.34,47.44
Renton Village,-122.21,47.47
Northland Plaza,-114.14,51.1
QFC - Lynnwood #855,-122.3,47.84
27th & 67th,-122.53,47.24
Fred Meyer - Issaquah #658,-122.04,47.55
7th & Pike - Seattle,-122.33,47.61
"SEA SeaTac North Satellite, Gt N-12",-122.3,47.45
South Edmonton Common Indigo,-113.48,53.45
Berkeley & Union - Tillicum,-122.56,47.12
Columbia St & 3rd Ave - Kamloops,-120.33,50.67
Safeway-Edmonton #814,-113.42,53.6
Safeway - Issaquah 3006,-122.02,47.54
Terwilliger Gardens,-113.57,53.45
Frontier Village,-122.11,48
South Hill,-117.37,47.63
NAIT Common Market,-113.51,53.57
148th St. SW & Highway 99,-122.28,47.86
Teavana - Alderwood Mall,-122.27,47.83
35th & Fauntleroy,-122.38,47.56
Teavana - Tacoma Mall,-122.47,47.22
Hwy 99 & Airport Rd - Everett,-122.26,47.89
Whyte Avenue,-113.5,53.52
Emerald Hills,-113.27,53.57
Mission Creek Plaza-Kelowna,-119.49,49.84
"Corner Stone Plaza- Hayden, ID",-116.79,47.74
Target Spokane T-2857,-117.37,47.6
Safeway-Seattle #423,-122.29,47.68
Safeway - Yakima #462,-120.52,46.6
QFC-Inglemore #838,-122.24,47.73
Governor's Market-Westbank,-119.62,49.84
Currents of Windermere,-113.61,53.44
St.Albert Chapters,-113.63,53.65
Carnation,-121.92,47.65
Safeway-Stony Plain #823,-113.98,53.54
Kensington,-114.09,51.05
Kingsway Mall,-113.51,53.56
Ellensburg Campus,-120.53,47
Western Washington University,-122.49,48.73
Haggen - Snohomish #3482,-122.1,47.93
Safeway-Calgary #2704,-113.96,50.93
Safeway - Calgary #287,-114.06,50.95
Haggen Stanwood #55,-122.33,48.24
Safeway Mission  - #142,-122.32,49.13
West Edmonton Mall Chapters,-113.63,53.52
QFC - Maple Valley/Wilderness Vlg #,-122.05,47.39
Dewdney & 227th - Maple Ridge,-122.59,49.22
Safeway - Hermiston #444,-119.29,45.83
Government Way & Neider,-116.79,47.71
Highway 99 & 200th - Lynnwood,-122.32,47.82
Overlake,-122.14,47.63
QFC - Mt. Lake Terrace #857,-122.29,47.79
Safeway - Wetaskiwin #862,-113.39,52.96
3 Bellevue Cntr,-122.2,47.62
128th St SW & 4th Ave W - Everett,-122.24,47.88
Murphys Corner/Frd Myr,-122.21,47.88
NE 4th Street and Union Ave NE,-122.16,47.49
Schweitzer Crossing,-116.55,48.31
1700 Canyon Rd,-120.54,46.98
Londonderry Mall,-113.45,53.6
Calgary House,-114.07,51.05
Zulily Headquarters,-122.35,47.61
Heritage Village,-117.41,47.74
Downtown Edmonds,-122.38,47.81
N. Greene & E. Augusta,-117.36,47.67
Seattle Municipal Building,-122.33,47.6
Safeway-North City #497,-122.31,47.75
130th & Aurora,-122.35,47.72
35th and 73rd-Wedgwood,-122.29,47.68
Leavenworth,-120.66,47.6
Safeway - Calgary #276,-114.01,50.98
Sodexo @ Gonzaga University Center,-117.4,47.67
196th & Hwy 99,-122.32,47.82
Revelstoke Trans Canada,-118.22,51.01
Albertsons 3411 @ Tacoma,-122.55,47.18
Safeway - Lynden #1930,-122.49,48.93
Secure Access SCH River,-122.28,47.66
Lakemont / Bellevue,-122.11,47.56
Safeway-Airdrie #281,-114.01,51.3
Safeway - Burien #1664,-122.34,47.47
University of Alberta - Cameron Lib,-113.53,53.52
Bankview,-114.1,51.03
Safeway-Lethbridge #299,-112.79,49.67
Wilderness Village,-122.05,47.39
Upper Windermere,-113.62,53.44
Safeway-Bonners Ferry #2954,-116.32,48.69
Iowa & King - Bellingham,-122.46,48.76
Safeway-Kirkland #1142,-122.17,47.68
132nd & Seattle Hill RD.-Snohmish,-122.17,47.88
Highlands Center,-119.16,46.21
Target Redmond T-995,-122.1,47.67
East Hills,-113.91,51.04
SEA SeaTac CT-26,-122.3,47.44
Bakerview-Bellingham,-122.51,48.79
4th & Seneca,-122.33,47.61
Fred Meyer-Kirkland #391,-122.18,47.71
Albertsons-Millcreek #458,-122.22,47.85
Safeway-Renton #519,-122.15,47.45
37th & Broadway,-122.2,47.97
Tulalip Outlet South,-122.19,48.09
Evergreen Way & 75th,-122.22,47.93
Safeway Vernon #24,-119.28,50.26
Safeway - Edmonton #2278,-113.51,53.45
Target Everett T-337,-122.23,47.91
Safeway - Edmonton #881,-113.58,53.54
Hampton Market,-113.67,53.49
