Name,Longitude,Latitude
QFC-Seattle/Broadway Mkt #887,-122.32,47.62
Harvey & Gordon-Kelowna,-119.48,49.88
Gateway South Chapters,-114.07,50.91
Factoria Boulevard,-122.17,47.58
228th & NE 4th - Sammamish,-122.04,47.61
505 Union Stn,-122.33,47.6
Shoreline - 20121 Aurora Ave N,-122.35,47.78
4 St & 23 Ave SW,-114.07,51.03
506 N. Sullivan,-117.2,47.66
YYC Calgary Central Hall FB,-114.01,51.13
Fairchild AFB,-117.65,47.64
Orchard Park Chapters,-119.44,49.88
The Grange,-113.68,53.51
HMS HOST @ YYC Departures Transbord,-114.01,51.13
Greentree Plaza,-122.23,47.91
Sundance,-114.06,50.9
Safeway-Juanita #2734,-122.21,47.72
Newport Village,-114.07,50.97
S. 1st Street & E. Nob Hill Blvd,-120.5,46.59
83rd Ave & Steilacoom Blvd,-122.55,47.18
Pike Street Roastery,-122.33,47.61
4400 32nd St - Vernon Square,-119.28,50.28
Galbreath Way & Weber,-118.37,47.12
Abbotsford Hospital - main lobby,-122.31,49.04
Sprague & Pine,-117.24,47.66
Sarcee Plaza 37St & 45Ave SW,-114.14,51.01
Safeway - Cochrane #2219,-114.48,51.19
Kingsland Plaza,-114.08,50.99
37th & Meridian/Puyallup,-122.29,47.16
Salish Plaza - Chilliwack,-121.95,49.17
Albertsons-Mukilteo #469,-122.28,47.88
Kent Kangley & Black Diamond Rd,-122.02,47.36
Leduc Crossroads,-113.55,53.27
Safeway-Wenatchee #1449,-120.32,47.43
Safeway-Marysville #1485,-122.18,48.06
Riverstone Marketplace - Vancouver,-122.48,45.6
Safeway - Spokane #342,-117.44,47.68
London Towne Square,-113.98,51.08
83rd & Aurora,-122.34,47.69
Houghton Plaza,-122.2,47.67
Fred Meyer-Kent #172,-122.21,47.39
McChord AFB BX,-122.49,47.13
Burlington Retail Center,-122.34,48.45
Albertsons - Milton #3113,-122.3,47.25
Teavana - Vancouver Mall WA,-122.58,45.66
Safeway - Bellingham #3285,-122.46,48.77
Albertsons-Kingston #186,-122.54,47.81
Safeway - Seattle #1143,-122.38,47.69
Target Northgate T-1284,-122.33,47.71
Target Missoula T-885,-114.04,46.89
Safeway-Spokane #3255,-117.4,47.67
Secure Access SCH Forest,-122.28,47.66
Safeway-Edmonton #877,-113.52,53.49
Swedish First Hill Lobby,-122.32,47.61
Fairwood,-122.15,47.45
Aurora Village,-122.34,47.78
Chinook Chapters,-114.07,51
Empire Building,-113.49,53.54
Southcentre,-114.06,50.95
Cottonwood Mall,-121.96,49.14
Cornerstone Southridge,-113.97,50.71
US Bank Centre,-122.34,47.61
Aramark @ University of Alberta,-113.52,53.52
Fred Meyer - Snohomish #681,-122.11,47.94
Downtown - Bellevue,-122.2,47.62
Albertsons-Battle Ground #592,-122.56,45.78
Safeway-Kirkland #526,-122.17,47.73
64th St NE & 47th Ave NE,-122.17,48.05
Kelsey Creek - Bellevue,-122.14,47.61
Deerfoot Meadows,-114.04,50.98
Alderwood Mall Kiosk,-122.27,47.83
Marda Loop,-114.11,51.02
QFC - Issaquah/Pine Lake #824,-122.03,47.58
Twin Lakes/Fred Meyer,-122.36,47.3
Pier 55,-122.34,47.6
Mill Creek Town Center,-122.22,47.86
Scotia Centre,-114.07,51.05
1101 Madison St,-122.32,47.61
High Street - Abbotsford,-122.38,49.06
Safeway-Bonney Lake #544,-122.15,47.17
YYC Calgary Term A,-114.01,51.13
Target Coeur d'Alene T-679,-116.79,47.73
7th & Westlake - Seattle,-122.34,47.62
George Washington Wy & McMurray,-119.28,46.3
2510 Reserve Street- Missoula,-114.04,46.85
SEA SeaTac Concourse B,-122.3,47.44
340th and Hoyt,-122.38,47.3
Puyallup,-122.29,47.15
Moses Lake,-119.25,47.1
QFC - Issaquah/Klahanie #840,-122,47.57
Cross Iron Indigo,-113.99,51.21
North Road 68 & Wrigley Dr,-119.19,46.27
Swedish Health Services-Issaquah Ca,-122.02,47.54
Millennium Ridge,-113.32,53.56
West Lethbridge Towne Centre,-112.89,49.69
Teavana - Southcenter Mall,-122.26,47.46
Secure Access Bellevue Childrens,-122.18,47.62
Albertsons-Clarkston #241,-117.04,46.42
145th and Lake City Way,-122.29,47.73
Clearbrook Town Square,-122.32,49.05
57th & Regal,-117.37,47.6
Safeway-Duvall #1572,-121.99,47.73
Guisachan Village,-119.47,49.87
Cheney Plaza,-117.57,47.51
Sammamish Highlands,-122.03,47.61
QFC - Totem Lake #828,-122.19,47.71
Safeway - Upper Queen Anne #368,-122.36,47.64
East Lake Samm.Cntr,-122.04,47.55
Safeway-Williams Lake #159,-122.14,52.13
Terrace Rd and 101 Ave,-113.42,53.54
Lethbridge Chapters,-112.84,49.7
Village at Beardslee Crossing,-122.19,47.77
Fred Meyer-Spokane #214,-117.4,47.77
52St & McIvor Blvd SE,-113.95,50.91
164th & Alderwood Mall Parkway,-122.27,47.85
Safeway - Toppenish #584,-120.32,46.38
Highway 99,-122.33,47.8
Rt. 2 & 522/Monroe,-121.98,47.86
QFC - Renton #871,-122.15,47.49
2nd & Madison,-122.34,47.61
Safeway - Calgary #2730,-114.14,51.02
168th and Highway 99-Lynnwood,-122.29,47.85
Millwoods Town Centre,-113.43,53.45
University Of Lethbridge,-112.87,49.68
145th & 15th,-122.31,47.73
Safeway - Everett #3298,-122.22,47.93
Overlake Medical Pavilion,-122.19,47.62
Enumclaw,-121.99,47.2
Jasper Gates,-113.58,53.54
Safeway-Calgary #291,-114.16,51.11
Aspen Landing,-114.21,51.04
164th Street Crossing,-122.25,47.85
120th Ave & NE 8th,-122.18,47.62
North Mercer Island,-122.24,47.59
"SEA SeaTac Concourse C, C12",-122.3,47.45
Redmond Ridge,-122.02,47.7
Broadway & E Pike St,-122.32,47.61
Target Federal Way T-1947,-122.31,47.31
Newcastle,-113.54,53.63
Central Park - Kelowna,-119.43,49.89
QFC - South Mercer Island #806,-122.23,47.54
Millrise Centre,-114.07,50.91
Safeway - Arlington #534,-122.18,48.15
Bernard & Pandosy,-119.5,49.89
Safeway - Cheney #1740,-117.57,47.51
Missoula-1-90 and Reserve,-114.03,46.91
Brewery District on 104,-113.53,53.55
Target Lakewood T-349,-122.51,47.17
30th St & Bickford Ave,-122.11,47.94
Safeway-Puyallup #2640,-122.29,47.14
"Avondale & 116th - Redmond, WA",-122.09,47.7
16th Ave & 11 Street NW,-114.09,51.07
Hwy 16A & Jennifer Heil Way,-113.93,53.54
Safeway-Calgary #288,-114.1,50.97
Albertsons 483 @ South Auburn,-122.23,47.27
QFC-Bellevue #827- Coal Creek,-122.17,47.54
23 Ave & 111 St,-113.52,53.46
Safeway - Shoreline  #3213,-122.34,47.74
Southtrail,-113.97,50.93
Scona Market,-113.5,53.51
Red Deer Village,-113.81,52.29
Woodinville at Garden Way,-122.16,47.75
QFC-North Bend #829,-121.78,47.49
Plaza 88,-122.18,48.08
2nd & Seneca,-122.34,47.61
4th & Meeker,-122.24,47.38
Signal Hill Indigo,-114.17,51.02
Main St.&Bellevue Way,-122.2,47.61
204th & Hwy 7 - Spanaway,-122.42,47.07
Elbow & Southland,-114.08,50.96
Civica Office Building,-122.2,47.61
Safeway Calgary - #227,-114.16,51.08
Safeway - Calgary #296,-114.17,51.01
"Fred Meyer-Alderwood, WA #688",-122.27,47.85
Kelowna Airport Business Park,-119.39,49.95
Teavana-Pacific Place 112,-122.34,47.61
Safeway - Puyallup #1798,-122.36,47.15
Keynote Center,-114.06,51.04
Safeway-Kent #1966,-122.17,47.36
Alderwood Mall Terrace,-122.27,47.83
Safeway-Bellevue #490,-122.15,47.63
YYC Gate a16,-114.01,51.13
Westbrook Mall,-114.14,51.04
Skyview Power Centre,-113.56,53.6
Carillon Point,-122.21,47.66
SODO Lobby,-122.34,47.58
Jasper Ave & 119 St,-113.53,53.54
Baseline Road,-113.31,53.54
Summit Ctre - Kamloops,-120.36,50.66
37th & Grand,-117.4,47.62
Bellerose Drive,-113.62,53.65
Tacoma Place,-122.46,47.19
Plaza 525- Mukilteo,-122.28,47.88
Center St. & Mullen-Tacoma,-122.5,47.23
North Bend & Mt Si- North Bend,-121.79,47.49
Safeway - E Wenatchee #3521,-120.28,47.4
YEG Edmonton Transborder,-113.49,53.55
Evolution Fresh-University Village,-122.3,47.66
15838 1st Ave South,-122.33,47.46
QFC-Mercer Island #839,-122.23,47.59
Safeway - Camrose #821,-112.86,53.02
Fraser Station - Abbotsford,-122.46,49.06
QFC - Bothell #819,-122.21,47.77
Smokey Point,-122.18,48.15
Market Mall East,-114.15,51.08
Fourth & Blanchard,-122.34,47.61
Creekside,-114.13,51.16
College Way & Riverside Dr,-122.34,48.44
Safeway-Monroe #537,-121.97,47.86
1st & Pike-Seattle,-122.34,47.61
Courtyard-Edmonton Int'l Airport,-113.41,53.47
Pine Lake,-122.03,47.58
Fred Meyer - Ellensburg #652,-120.55,46.99
S 56th & Tacoma Way - Tacoma,-122.48,47.21
Pioneer Square,-122.33,47.6
Swedish Medical Center-Jefferson To,-122.31,47.61
Fred Meyer-Bellingham #667,-122.51,48.79
Dobbin Rd - Westbank TC,-119.63,49.83
Dickson Crossing,-114.01,51.3
The Westin Calgary,-114.07,51.05
Hwy 97 at Leathead-Kelowna,-119.41,49.9
Ambaum & SW 148th,-122.35,47.47
7th & Rainier Ave,-122.22,47.47
Devon Tower,-114.07,51.05
Fred Meyer - Bellingham #25,-122.46,48.74
Redmond North,-122.13,47.68
SEA SeaTac Relocate of Nr Esplanade,-122.3,47.44
56th & Summitview Ave,-120.58,46.6
8th Avenue Place,-114.07,51.05
Safeway @ Seattle 1508,-122.29,47.57
West Oaks Mall,-122.32,49.05
Panorama Hills,-114.07,51.15
Safeway - Gig Harbor #3321,-122.58,47.3
3rd & Madison,-122.33,47.61
26th and Proctor,-122.49,47.27
Penn Plaza- Moses Lake,-119.28,47.14
Lakewood Crossing - Marysville,-122.19,48.15
Gallerie Beaumnont,-113.42,53.36
Safeway-Silver Firs #2645,-122.15,47.88
Edmonds Way & 100th,-122.36,47.79
Lake Forest Park,-122.28,47.75
Safeway - Calgary #294,-114.07,51.13
Hotel Arts,-114.07,51.04
McKnight Blvd & Avation Rd,-114.03,51.1
Camrose,-112.86,53.02
Canyon Crossing- Frederickson,-122.35,47.1
Aramark @ Grant MacEwan Clock Tower,-113.5,53.55
Northgate Mall,-122.33,47.7
Royal Oak,-114.21,51.15
Rutland Crossing,-119.39,49.89
YEG G - 56,-113.49,53.55
Save On Foods East Airdrie,-113.99,51.27
GEG -  Conc C Upper (Gates 30-32),-117.54,47.63
Oak Tree,-122.34,47.7
Albertsons 3414 @ Walla Walla,-118.3,46.08
Aramark University of British Colum,-119.43,49.95
Safeway-Calgary #280,-114.12,50.94
Greenlake,-122.33,47.68
The University of Idaho - VandalSto,-117.01,46.73
Country Hills,-114.16,51.14
Safeway - Whitefish #2106,-114.34,48.4
Riverstone Center,-116.81,47.69
Bothell QFC,-122.21,47.77
PDX - Concourse C,-122.59,45.59
Market Mall SC West,-114.16,51.09
Downtown Kirkland,-122.21,47.68
Westlake Center,-122.34,47.61
Fort Saskatchewan,-113.22,53.69
Teavana - Market Mall,-114.16,51.08
Swedish Hospital Edmonds,-122.34,47.8
Monroe Plaza,-121.97,47.86
43rd St & E Valley,-122.22,47.44
Safeway - Calgary #285,-114.2,51.13
Seattle Center,-122.35,47.62
QFC-Stanwood #879,-122.36,48.24
1st & Marion,-122.34,47.6
Holman Road,-122.36,47.7
Mission Junction Shopping Center,-122.32,49.13
Quarry Park,-114.01,50.96
QFC Harvard Market #847,-122.32,47.61
Safeway-Calgary #874,-114.21,51.04
Brewsters @ Banff Gondola,-115.56,51.15
Fred Meyer - Redondo #215,-122.3,47.37
SE 256th Street-Kent,-122.2,47.37
Safeway - Seattle #1062,-122.38,47.56
Save On Foods Sumas,-122.27,49.04
Safeway - Spokane #1473,-117.22,47.66
17 Avenue SW,-114.08,51.04
Factoria Village,-122.17,47.58
Wellesley & Belt,-117.45,47.7
Fred Meyer Seattle #28,-122.33,47.48
Woodinville,-122.15,47.75
Fred Meyer-Veradale #351,-117.19,47.66
Univ. of Wash / Tacoma,-122.44,47.25
Safeway - Edmonton #800,-113.59,53.52
Fred Meyer-Seattle #122,-122.36,47.69
Ballinger Village,-122.31,47.78
Safeway - Abbotsford #88,-122.32,49.05
Manning Fwy & Manning,-113.41,53.61
U of Calgary - Seasons Bookstore,-114.13,51.07
Duvall Commons- Duvall,-121.99,47.73
Depot 170 Chapters,-113.62,53.54
Safeway #1642 - Pendleton,-118.81,45.67
Safeway-Quesnel #71,-122.5,52.98
Main St and Center St - Kalispell,-114.31,48.2
Safeway - Yakima #1235,-120.54,46.58
HMS HOST @ YYC Arrivals Internation,-114.01,51.13
Cedar River Station,-122.14,47.46
Safeway - Ephrata  #1544,-119.56,47.31
3rd & Seneca,-122.34,47.61
Safeway-Spokane #1799,-117.37,47.69
Main St & Front St - Penticton,-119.59,49.5
Highland Marketplace,-122.16,47.49
Clearview Plaza,-122.12,47.84
Capitol Hill,-122.32,47.62
Safeway-Okotoks #2223,-113.98,50.72
Hwy 104 - Kingston,-122.54,47.81
Overlake Village,-122.14,47.63
U of Calgary-Yamnuska Hall,-114.13,51.07
Snoqualmie Ridge- Snoqualmie,-121.87,47.53
Valleyview SC - Kamloops,-120.28,50.68
QFC - Mukilteo #832,-122.29,47.89
Aramark@ UoA-CCIS Faculty of Scienc,-113.53,53.53
Palouse Mall - Moscow,-117.03,46.73
Safeway-Chilliwack #193,-121.96,49.14
Pacific Hwy & 288th,-122.31,47.34
72nd & Tieton,-120.6,46.59
Fred Meyer-Puyallup #424,-122.3,47.1
Pacific Place,-122.34,47.61
Fremont Ave,-122.35,47.65
Teavana - Marlborough Mall,-113.98,51.06
Pacific Highway & Willow St-Fife,-122.37,47.24
Broadway & Argonne,-117.28,47.66
Safeway-West Seattle #2932,-122.39,47.58
QFC - Mill Creek #856,-122.22,47.85
Alderwood Mall Parkway,-122.27,47.82
Fernie,-115.06,49.51
320th Street - Federal Way,-122.31,47.32
709 Southgate- Pendleton,-118.81,45.66
3rd and Pike,-122.34,47.61
Alki Ave.,-122.41,47.58
Safeway - Edmonton #802,-113.59,53.47
Downtown Everett,-122.21,47.98
Turtle Bay Winfield,-119.41,50.05
112th & 4th Plain- Vancouver,-122.56,45.67
Intact Place,-114.07,51.05
Giroux Crossing,-113.63,53.65
Safeway-North Bend #1528,-121.79,47.49
Safeway - Edmonton #838,-113.55,53.56
Safeway-Vancouver #1704,-122.51,45.67
Safeway - Nelson #133,-117.28,49.5
132nd & Meridian- Puyallup,-122.29,47.14
Cherry Lane - Penticton,-119.58,49.47
Westlake & Thomas - Seattle,-122.34,47.62
Fred Meyer-Lynnwood #180,-122.3,47.82
Bankers Hall Main floor,-114.07,51.05
Dash Point,-122.36,47.32
Chestermere Station,-113.83,51.05
Mt. Lehman Centre - Abbotsford,-122.38,49.06
Vancouver Mall,-122.58,45.66
Safeway-Coeur d'Alene #1470,-116.79,47.71
216 W Manson Hwy,-120.02,47.84
Belltown,-122.35,47.61
City Center - Bellevue,-122.2,47.62
Lake City Way & 120th,-122.3,47.72
GEG Rotunda A/B,-117.54,47.63
Highway 512 & South Tacoma Way,-122.48,47.16
Covington Esplanade,-122.1,47.36
Target Renton T-2290,-122.2,47.5
Safeway - Burien #3120,-122.34,47.49
Sobeys Walker Edmonton,-113.42,53.42
Compass @ Southern Alberta Institut,-114.09,51.06
Safeway-Chestermere #2731,-113.82,51.05
4th & Diagonal-Seattle,-122.33,47.57
83rd & Mill Plain Blvd - Vancouver,-122.59,45.62
Safeway-Woodinville #533,-122.08,47.76
Clearview,-113.77,52.29
Evergreen,-114.11,50.91
Taylor Ave & 67th St,-113.84,52.29
Safeway-Hood River #1123,-121.53,45.71
Fred Meyer - Spokane #657,-117.36,47.65
Post Falls,-116.9,47.71
"Hwy 93 & Reserve Dr, Kalispell",-114.33,48.24
Secure Access Sodo 8,-122.34,47.58
Target Kent T-681,-122.2,47.37
Fred Meyer - Tacoma Pacific #385,-122.44,47.19
Safeway - Edmonton #816,-113.62,53.53
Save On Foods - Seton,-113.95,50.88
Safeway-Yakima #502,-120.58,46.6
Merlot Dr & Wine Country Rd - Pross,-119.79,46.22
7750 NE Bothell Way,-122.24,47.76
Columbia City,-122.29,47.56
Bow Valley Square,-114.07,51.05
Albertsons-Lynnwood #485,-122.32,47.82
Safeway-Richland #333,-119.28,46.3
Safeway #1159 - Newport,-117.04,48.18
Phinney Ridge,-122.35,47.68
Fred Meyer - Orchards #236,-122.55,45.68
Safeway - Calgary #2117,-114.12,51.02
Livingston Place,-114.07,51.05
Fred Meyer-Battleground,-122.55,45.78
Fred Meyer-East Wenatchee #654,-120.29,47.41
Target Spokane T-636,-117.4,47.75
132 E Holly-Bellingham,-122.48,48.75
Bear Creek,-122.11,47.67
Southcenter (B&N),-122.25,47.46
Safeway - Vernon #61,-119.28,50.28
Crossroads South,-122.13,47.62
Auburn Way & 15th- Auburn,-122.22,47.32
Fred Meyer-Burlington #24,-122.33,48.47
I5 & Cook,-122.34,48.51
Cobblestone,-118.77,55.17
Fred Meyer Yakima #486,-120.56,46.62
Atrium 1 - 5th Ave & 8th St,-114.08,51.05
28 E. Main,-118.34,46.07
Cordata Village,-122.49,48.8
Safeway-Calgary #2222,-114.17,51.07
City University,-122.35,47.62
Calgary Marriott,-114.06,51.04
South Edmonton Commons,-113.49,53.45
E. Marginal Way & Norfolk,-122.29,47.51
Safeway-Grandview #1593,-119.89,46.26
Memorial & Edmonton Trail,-114.05,51.05
Lakeland Town Center,-122.21,47.24
Safeway - Tacoma #1594,-122.44,47.21
59 Columbia Pt Drive,-119.27,46.26
Northills SC - Kamloops,-120.36,50.7
QFC - Seattle/Ballard #891,-122.39,47.67
West Edmonton Mall Ice Palace,-113.62,53.52
Ellingson Rd- Auburn,-122.23,47.27
1700 Seventh Ave,-122.34,47.61
Safeway - Milton #3545,-122.3,47.25
Redmond Retail,-122.11,47.67
Vancouver Park Place- Vancouver,-122.59,45.65
South Park,-113.49,53.47
Haggens - Bellingham,-122.48,48.77
QFC-North Towne #859,-122.2,47.63
Petro Travel Center - Spokane,-117.56,47.59
McLeod Park,-113.43,53.62
Stanwood Town Center,-122.36,48.24
Hwy 97 & Riverside Dr - Penticton,-119.62,49.5
Market at Lake Tapps/Bonney Lake,-122.17,47.17
170th St & 90th Ave NW,-113.62,53.53
1410 Plaza Way,-118.35,46.05
Eagle Landing - Chilliwack,-121.98,49.15
Ballard/FredMeyer,-122.37,47.66
Safeway - Aldergrove #165,-122.46,49.06
Sunridge Mall - Level 1,-113.98,51.07
"Hermiston- Hermiston, OR",-119.29,45.85
Fred Meyer - Fisher's Landing #93,-122.5,45.61
Safeway-Bellevue #3472,-122.17,47.58
Safeway - Grand Prairie #826,-118.79,55.16
Bellevue Square,-122.2,47.62
Covington Place,-122.12,47.36
Safeway - Everett #474,-122.2,47.99
Valley Mall,-120.48,46.57
Safeway-Graham #547,-122.3,47.05
"Univeristy of Calgary, Crowsnest",-114.13,51.07
Safeway-Edmonton #887,-113.6,53.43
Safeway-Sunnyside #563,-120.01,46.32
Southgate Mall,-113.51,53.49
Dalhousie Station Chapters,-114.16,51.1
Roosevelt Square,-122.32,47.68
Midway Crossing,-122.3,47.39
QFC-Edmonds #851,-122.37,47.79
Safeway-Lynnwood #3523,-122.28,47.86
Safeway-Kelowna #7,-119.43,49.88
Safeway - Kent #459,-122.2,47.42
Safeway-Vancouver #1653,-122.56,45.64
Safeway - Sammamish #555,-122.03,47.62
Albertsons - Mt Lake Terrace #414,-122.29,47.81
Bowfort Road,-114.21,51.08
"North Juanita - Kirkland, WA",-122.21,47.72
Safeway - Chilliwack #99,-121.96,49.16
N. Wenatchee Ave & Maiden Lane,-120.33,47.45
Sprague & Carnahan,-117.34,47.66
Save On Foods Jasper,-113.51,53.54
Wellington Square,-114.09,51.04
Lakewood Mall,-122.52,47.16
SE 272nd St & 172nd Ave SE,-122.11,47.36
Sunridge Chapters,-113.99,51.08
Division & Buckeye,-117.41,47.68
Target Lake Stevens T-1331,-122.1,48
Safeway - Hinton #825,-117.59,53.41
Suncor main floor,-114.06,51.05
QFC - North Shore #831,-122.38,47.29
N. 30th & McCarver/Old Town,-122.46,47.27
QFC - West Wood Village #825,-122.37,47.52
Rio Can Centre,-118.82,55.17
26th & Nob Hill,-120.54,46.59
Chinook North,-114.07,51
The District,-114.03,51.15
Coal Creek Village,-122.17,47.54
Safeway-Seattle #1493,-122.28,47.46
Pine Street,-122.34,47.61
Ellerslie & Parsons,-113.48,53.43
Garrison & Vedder,-121.96,49.1
12 Ave & 8th Street SW,-114.08,51.04
Brandt's Creek Crossing,-119.44,49.92
Commerce Center,-122.55,45.62
West Seattle,-122.38,47.58
Bellevue,-122.2,47.62
Albertsons - Richland #252,-119.27,46.23
YEG C7,-113.49,53.55
Ash St & Wye Rd,-113.31,53.51
64th & Meeker,-122.25,47.38
Target Burlington T-696,-122.34,48.47
Safeway - Leavenworth #1589,-120.65,47.6
2nd & Cherry,-122.33,47.6
Northwest Hospital & Medical Ctr Lo,-122.34,47.71
Westwood Village,-122.37,47.52
Target Seattle T-637,-122.37,47.52
Madison Park,-122.28,47.63
152nd St & Meridian Ave,-122.29,47.12
Redmond Town Center,-122.12,47.67
Teavana - Seattle,-122.3,47.66
19th & Mildred,-122.53,47.24
12th & Columbia,-122.32,47.61
Columbia Tech Center,-122.48,45.62
2200 Westlake Avenue,-122.34,47.62
DeWolf & Voght - Merritt,-120.76,50.12
72nd & Portland Avenue,-122.41,47.19
Fred Meyer-Kennewick #163,-119.16,46.2
Fairmont Palliser Calgary,-114.06,51.04
23rd & Jackson,-122.3,47.6
Safeway - Canmore #2244,-115.36,51.09
Safeway - Colville #385,-117.91,48.55
Tacoma Mall,-122.47,47.22
Crowfoot Village,-114.2,51.13
